section,id,type,name,description
95,exemptions_for_urgent_application_proposal,concept,Exemptions for Urgent Application or Proposal,Certain subdivisions and divisions of the Act that do not apply to an urgent application or proposal.
95,no_charge_under_section_146,concept,No Charge for Urgent Application,No fee is required under section 146 for processing an urgent application.
97,public_notice_of_approval,regulation,Public Notice of Approval,A notice given by the Authority to inform the public about the approval of a draft standard or variation and where to obtain further information.
97,legislative_instrument,regulation,Legislative Instrument,The form that a standard or variation takes once it is approved and notice is published under subsection 4.
98,subdivision,legislation,Subdivision,The Subdivision referenced applies under certain conditions.
98,section_97,legislation,Section 97,The section under which the Authority approves a draft standard or a draft variation of a standard.
99,costs_and_benefits,concept,Costs and Benefits,"The costs and benefits to the community, Government, or industry from the standard or variation."
99,alternative_measures,concept,Alternative Measures,Other measures that could be more cost-effective than the standard or variation.
99,other_relevant_matters,concept,Other Relevant Matters,Any other matters that are relevant to the assessment of the standard or variation.
104,subsection_103_2,legislation,subsection 103(2),A legislative provision that may give directions on how the Authority should conduct reviews.
104,subsection_55,legislation,section 55,A legislative provision under which the Authority can prepare a proposal for the development of a variation or a replacement standard.
104,section_150,legislation,section 150,A legislative provision stating that the Board must not delegate its powers to act on behalf of the Authority under subsection (2).
108,public_notice_of_application,legal_procedure,Public Notice of Application,A notice given to the public under section 28 or 51 regarding an application.
108,withdrawn_application,concept,Withdrawn Application,An application is considered withdrawn if the applicant fails to comply with the Authority's request for further information without a reasonable excuse.
109,consideration_period,time_period,Consideration Period,The time frame within which the Authority must complete the consideration of applications for standards or variations.
109,expedited_consideration,concept,Expedited Consideration,An election by the applicant to have the consideration of their application expedited.
109,assessment_of_application,procedure,Assessment of Application,The process undertaken by the Authority when it begins its assessment of the application under section 29.
109,extension_of_consideration_period,procedure,Extension of Consideration Period,A procedure where the Authority may extend the consideration period if it is not practicable to complete the general procedure within the specified period.
109,stopping_the_clock,procedure,Stopping the Clock,"A procedure where the consideration period is paused for certain events, such as the applicant providing further information, unpaid charges, or an application for review by the Administrative Appeals Tribunal."
109,suspension_of_consideration,procedure,Suspension of Consideration,A procedure where the Authority may suspend its consideration of any application which would be affected by policy guidelines once formulated.
110,section_58,legislation,Section 58,A section of the Act that requires public notice by the Authority under certain conditions.
110,section_75,legislation,Section 75,A section of the Act that requires public notice by the Authority under certain conditions.
111,public_hearing,event,Public Hearing,"A hearing that may be conducted by the Authority at any point during the consideration of an application or proposal for the development or variation of a food regulatory measure, excluding applications for a high level health claims variation."
111,private_hearing_part,event,Private Part of Hearing,A part of the public hearing that the Authority may direct to be held in private due to the confidential nature of evidence or any other reason.
111,direction_prohibiting_publication,regulatory_action,Direction Prohibiting or Restricting Publication,A directive that the Authority may issue to prohibit or restrict the publication of evidence or documents produced during public or private hearings or the review or assessment of draft food regulatory measures or variations.
112,section_55,legislation,Section 55,Section of the Act related to proposals that the Authority may decide not to act upon to avoid duplication of work.
114,board_member,person,Board member,A person who is a member of the Board of the Authority.
114,authority_staff_member,person,Staff member of the Authority,A person who is a member of the staff of the Authority.
114,committee_member,person,Committee member,A person who is a member of a committee.
114,consultant,person,Consultant,A person engaged as a consultant under section 136.
114,chief_executive_officer,person,Chief Executive Officer,The Chief Executive Officer of the Authority.
114,prescribed_authority_or_person,entity,Prescribed authority or person,An authority or person to whom confidential information may be disclosed as prescribed.
114,applicant,entity,Applicant,A person or body who applies for the development or variation of a food regulatory measure.
114,agency_head,person,Agency Head,The head of an Agency within the meaning of the Public Service Act 1999.
114,commonwealth_authority_chief_officer,person,Chief Officer of a Commonwealth authority,The Chief Officer of a Commonwealth authority.
114,state_or_territory_department_secretary,person,Secretary of a Department of the Public Service of a State or Territory,The Secretary of a Department of the Public Service of a State or Territory.
114,state_or_territory_authority_chief_officer,person,Chief Officer of a State or Territory authority,The Chief Officer of a State or Territory authority.
114,new_zealand_department_chief_executive,person,Chief executive of a Department of State of New Zealand,The chief executive of a Department of State of New Zealand.
114,new_zealand_authority_chief_officer,person,Chief Officer of a New Zealand authority,The Chief Officer of a New Zealand authority.
114,other_authority_or_body_chief_officer,person,Chief Officer of any other authority or body,The Chief Officer of any other authority or body.
114,court,entity,Court,"Includes a tribunal, authority or person having power to require the production of documents or the answering of questions."
115,board_of_food_standards_australia_new_zealand,organization,Board of Food Standards Australia New Zealand,The organization responsible for conducting the affairs of the Authority.
116,chairperson,role,Chairperson of the Board,The Chairperson is a part-time member of the Board who must be appointed by the Minister and is subject to the agreement of the Forum on Food Regulation.
116,new_zealand_lead_minister,person,New Zealand lead Minister on the Forum on Food Regulation,This Minister nominates members to the Board for specific roles.
116,consumer_organisations,organization,Consumer Organisations,Organisations that nominate a member to the Board who is knowledgeable in consumer rights and consumer affairs policy in Australia.
116,ceo_of_nhmrc,person,CEO of the National Health and Medical Research Council,This CEO nominates a member to the Board.
116,science_and_public_health_organisations,organization,Organisations related to Science and Public Health,"These organisations or public bodies nominate members to the Board who are qualified in fields related to public health, consumer affairs, food science, and other relevant areas."
116,food_industry_organisations,organization,Organisations related to the Food Industry,"These organisations or public bodies nominate members to the Board who are qualified in fields related to the food industry, food processing, retailing, and other relevant areas."
118,committee,organization,Committee,Committees are established by the Board to assist in carrying out its functions or to make recommendations on applications or proposals for a high level health claims variation.
119,board_members,person,Members of the Board,Individuals who are part of the Board under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
119,committee_members,person,Members of committees,Individuals who are part of committees under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
119,remuneration_tribunal,organization,Remuneration Tribunal,The tribunal responsible for determining the remuneration of members of the Board and committees when no other determination is in force.
119,remuneration_tribunal_act_1973,legislation,Remuneration Tribunal Act 1973,The act that has effect on the remuneration and allowances of members of the Board and committees under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
120,member,person,Member,A Member is an individual who can be granted leave of absence by the Chairperson under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 120.
123,meeting_participation_methods,concept,Meeting Participation Methods,"The Board may permit members to participate in meetings by telephone, closed-circuit television, or any other means of communication."
124,subsection_122_5,legislation,Subsection 122(5) of the Food Standards Australia New Zealand Act 1991,The subsection of the Act that defines the quorum for a meeting of the Board.
125,authority_website,platform,Authority's website,The website where the Board must publish the register of members' interests.
127,public_governance_performance_and_accountability_act_2013_sect_30,legislation,"Public Governance, Performance and Accountability Act 2013 - SECT 30","Legislation that deals with terminating the appointment of an accountable authority, or a member of an accountable authority, for contravening general duties of officials."
128,chief_executive_officer_of_the_authority,position,Chief Executive Officer of the Authority,A position within the Authority that is appointed by the Board on a full-time basis.
128,body_corporate_involved_in_food_production_or_manufacture,organization,Body Corporate involved in food production or manufacture,A body corporate whose primary commercial activity relates directly to the production or manufacture of food.
134,acting_chief_executive_officer,role,Acting Chief Executive Officer,A person appointed by the Board to act as the Chief Executive Officer during a vacancy or when the Chief Executive Officer is absent or unable to perform duties.
134,acts_interpretation_act_1901,legislation,Acts Interpretation Act 1901,Legislation that includes rules applicable to acting appointments.
135,public_service_act_1999,legislation,Public Service Act 1999,An Act that governs the engagement of staff in the public service.
135,chief_executive_officer_of_authority,person,Chief Executive Officer of the Authority,The Chief Executive Officer of the Food Standards Australia New Zealand Authority.
135,aps_employees,organization,APS employees assisting the Chief Executive Officer,Australian Public Service employees who assist the Chief Executive Officer of the Authority.
135,statutory_agency,organization,Statutory Agency under the Public Service Act 1999,The Statutory Agency consisting of the Chief Executive Officer and APS employees assisting the Chief Executive Officer.
136,consultants,person,Consultants,Individuals with suitable qualifications and experience who can be engaged by the Chief Executive Officer on behalf of the Authority.
137,state_territory_department_secretary,person,Secretary of a Department of the Public Service of a State or Territory,The Secretary of a Department of the Public Service of a State or Territory.
137,state_territory_authority_chief_officer,person,Chief Officer of a State or Territory authority,The Chief Officer of a State or Territory authority.
137,other_authority_chief_officer,person,Chief Officer of any other authority or body,The Chief Officer of any other authority or body.
138,finance_minister,person,Finance Minister,The minister responsible for giving directions regarding the amounts and timing of money paid to the Authority.
138,parliament,organization,Parliament,The legislative body responsible for appropriating money for the purposes of the Authority.
139,section_138,legislation,Section 138,A section of the Act that involves payment to the Authority.
139,section_145,legislation,Section 145,A section of the Act that involves payment to the Authority.
139,section_147,legislation,Section 147,A section of the Act that involves payment to the Authority.
139,section_59_public_governance_performance_and_accountability_act_2013,legislation,"Section 59 of the Public Governance, Performance and Accountability Act 2013",A section of another Act that allows for the investment of money not immediately required for the purposes of the Authority.
140,commonwealth,government,Commonwealth,The federal government of Australia
140,state,government,State,The individual state governments within Australia
141,trust_money,concept,Trust Money,Money received by the Authority from any body or person for a particular purpose consistent with the functions of the Authority.
142,section_114,legislation,Section 114 of the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,A section of the Act that may impose conditions on how the Authority can deal with or dispose of documents and samples that become Commonwealth property.
143,administrative_appeals_tribunal_act_1975,legislation,Administrative Appeals Tribunal Act 1975,"Legislation that allows for the review of decisions, which is referenced in the context of applications for review under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 143."
143,administrative_appeals_tribunal,entity,Administrative Appeals Tribunal,The entity to which applications for review of decisions under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 can be made.
143,decision,concept,decision,"A determination made by the Authority under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991, which can be reviewed by the Administrative Appeals Tribunal."
144,person_affected_by_decision,person,person affected by the decision,A person whose interests are affected by a decision of a kind referred to in paragraph 143(1)(b).
146,regulations,legislation,Regulations under FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,Regulations that may fix charges for services and facilities provided by the Authority to bodies or persons.
146,charge,concept,Charge for services and facilities,"A financial obligation to be paid to the Authority for services and facilities provided, which may be paid in instalments and is recoverable as a debt."
146,new_zealand,entity,New Zealand,A country that must not be specified as a person or body by whom charges are payable under the regulations.
146,three_year_plan,concept,Three Year Forward Plan of the Authority,"A plan developed under section 20 of the Act, which must not be displaced by the consideration of an application in relation to which a charge is fixed."
146,application_to_develop_or_vary_a_standard,process,Application to develop or vary a standard,A process where a charge may be fixed if it confers an exclusive capturable commercial benefit or if expedited consideration is elected by the applicant.
147,late_payment_penalty_rate,regulation,Late payment penalty rate,A penalty rate of 20% per year or a lower percentage if specified by the regulations.
148,sect_148,regulation,Charge--discount for early payment,The regulations may make provision for and in relation to discounts for early payment of charge under section 146.
148,sect_146,regulation,Charge under section 146,This is a referenced regulation related to the charge that may have discounts for early payment as per section 148.
149,subsection_24_2,legislation,Subsection 24(2),A legislative provision related to the refund of charge.
150,senior_member_of_the_staff_of_the_authority,role,Senior Member of the Staff of the Authority,"A person holding a Senior Executive Service position or an APS Executive Level 2 position, or an equivalent position in the Authority."
150,chairperson_of_the_board,person,Chairperson of the Board,The individual responsible for signing certificates stating matters with respect to a delegation of power under this section.
151,person_assisting_the_authority,person,person assisting the Authority,"A person assisting the Authority in the performance of its functions is exempt from civil or criminal proceedings, and actions or suits of any other kind in relation to loss or injury sustained because of the consumption of, or other dealing with, food."
151,standard_compliance,concept,Standard compliance,"In an action related to loss or injury because of the consumption of, or other dealing with, food, compliance with a standard that has come into effect or has been adopted and published is not a defence."
152,subsection_26_1,legislation,Subsection 26(1),Subsection of the Act concerning the acceptance or rejection of applications.
152,subsection_24_1,legislation,Subsection 24(1),Subsection of the Act concerning the withdrawal of applications.
152,section_109,legislation,Section 109,Section of the Act concerning the consideration period for applications.
152,section_95,legislation,Section 95,Section of the Act concerning the declaration of urgent applications.
152,section_101,legislation,Section 101,Section of the Act concerning the 12 month period for decision making.
152,section_33,legislation,Section 33,Section of the Act concerning the approval of draft standards and draft variations.
152,section_82_6,legislation,Section 82(6),Section of the Act concerning variations given to the Authority.
152A,corporate_plan,concept,Corporate Plan,A plan prepared by the members of an organization.
152A,members,organization,Members,The individuals or entities responsible for preparing the corporate plan under the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
153,governor_general,person,Governor-General,"The Governor-General may make regulations, not inconsistent with this Act."
153,code_of_practice,regulation,Code of Practice,A set of guidelines or standards of practice that can be revoked or varied by the Authority.
8,food_standards_australia_new_zealand_act_1991_sect_10,legislation,food_standards_australia_new_zealand_act_1991_sect_10,"The Act binds the Crown in right of the Commonwealth, of each of the States, of the Australian Capital Territory and of the Northern Territory."
62,public_notice_of_decision,concept,public_notice_of_decision,The public notice must specify the date of effect of the Authority's decision.
62,public_notice_of_decision,concept,public_notice_of_decision,The public notice must state how to obtain further information about the decision and the reasons for it.
65,section_68,legislation,section_68,Section 68 modifies the step set out in Section 61.
85,instrument,concept,instrument,An instrument made under paragraph (1)(b) is not a legislative instrument.
96,section_99,legislation,section_99,Section 99 refers to Section 18 for the objectives of the Authority in developing food regulatory measures and variations.
109,proposal_under_section_55,legislation,proposal_under_section_55,A proposal prepared by the Authority after a review is treated as if it were a proposal under section 55.
117,food_standards_australia_new_zealand_act_1991_sect_121,legislation,food_standards_australia_new_zealand_act_1991_sect_121,The FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 121 references the Acts Interpretation Act 1901 for rules that apply to acting appointments.
123,food_standards_australia_new_zealand_act_1991_sect_127,legislation,food_standards_australia_new_zealand_act_1991_sect_127,"Section 127 of the Act references Section 30 of the Public Governance, Performance and Accountability Act 2013 for additional grounds for termination."
130,food_standards_australia_new_zealand_act_1991_sect_134,legislation,food_standards_australia_new_zealand_act_1991_sect_134,Section 134 of the Food Standards Australia New Zealand Act 1991 refers to the Acts Interpretation Act 1901 for rules on acting appointments.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,"The annual report under Section 152 of the Food Standards Australia New Zealand Act 1991 is prepared under Section 46 of the Public Governance, Performance and Accountability Act 2013."
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications made under Section 22.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications accepted or rejected under Subsection 26(1).
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications withdrawn under Subsection 24(1).
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications not assessed under Section 29.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes occasions where the consideration period under Section 109 elapsed without completion of the procedure.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of urgent applications declared under Section 95.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of proposals prepared under Section 55.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of proposals not assessed under Section 59.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes occasions when no decision was made within the 12 month period referred to in Subsection 101(1).
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications with charges payable under Section 146.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications made to the Administrative Appeals Tribunal for review of decisions of the Authority.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of draft standards and draft variations approved under Section 33.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of variations given to the Authority under Subsection 82(6).
8,food_standards_australia_new_zealand_act_1991_sect_10,legislation,food_standards_australia_new_zealand_act_1991_sect_10,"The Act binds the Crown in right of the Commonwealth, of each of the States, of the Australian Capital Territory and of the Northern Territory."
62,public_notice_of_decision,concept,public_notice_of_decision,The public notice must specify the date of effect of the Authority's decision.
62,public_notice_of_decision,concept,public_notice_of_decision,The public notice must state how to obtain further information about the decision and the reasons for it.
65,section_68,legislation,section_68,Section 68 modifies the step set out in Section 61.
85,instrument,concept,instrument,An instrument made under paragraph (1)(b) is not a legislative instrument.
96,section_99,legislation,section_99,Section 99 refers to Section 18 for the objectives of the Authority in developing food regulatory measures and variations.
109,proposal_under_section_55,legislation,proposal_under_section_55,A proposal prepared by the Authority after a review is treated as if it were a proposal under section 55.
117,food_standards_australia_new_zealand_act_1991_sect_121,legislation,food_standards_australia_new_zealand_act_1991_sect_121,The FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 121 references the Acts Interpretation Act 1901 for rules that apply to acting appointments.
123,food_standards_australia_new_zealand_act_1991_sect_127,legislation,food_standards_australia_new_zealand_act_1991_sect_127,"Section 127 of the Act references Section 30 of the Public Governance, Performance and Accountability Act 2013 for additional grounds for termination."
130,food_standards_australia_new_zealand_act_1991_sect_134,legislation,food_standards_australia_new_zealand_act_1991_sect_134,Section 134 of the Food Standards Australia New Zealand Act 1991 refers to the Acts Interpretation Act 1901 for rules on acting appointments.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,"The annual report under Section 152 of the Food Standards Australia New Zealand Act 1991 is prepared under Section 46 of the Public Governance, Performance and Accountability Act 2013."
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications made under Section 22.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications accepted or rejected under Subsection 26(1).
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications withdrawn under Subsection 24(1).
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications not assessed under Section 29.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes occasions where the consideration period under Section 109 elapsed without completion of the procedure.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of urgent applications declared under Section 95.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of proposals prepared under Section 55.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of proposals not assessed under Section 59.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes occasions when no decision was made within the 12 month period referred to in Subsection 101(1).
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications with charges payable under Section 146.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of applications made to the Administrative Appeals Tribunal for review of decisions of the Authority.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of draft standards and draft variations approved under Section 33.
148,food_standards_australia_new_zealand_act_1991_sect_152,legislation,food_standards_australia_new_zealand_act_1991_sect_152,The annual report includes the number of variations given to the Authority under Subsection 82(6).
